豐原,臺中市,細懸浮微粒,1.9,0.53,53.6,39.3,54,27,20.1,24.4,4.3,2.5,216,2023/03/07 10:00:00,0.4,22,39,1,120.74252414,24.25699731,69,普通
沙鹿,臺中市,細懸浮微粒,7.2,0.62,34.1,17,74,41,32.9,42.3,9.4,1.2,274,2023/03/07 10:00:00,0.6,34,60,2,120.568794,24.225628,97,普通
大里,臺中市,細懸浮微粒,3,0.48,37,25.4,59,27,27.1,35.5,8.3,1.6,302,2023/03/07 10:00:00,0.4,25,50,1,120.67844444,24.09961111,76,普通
忠明,臺中市,細懸浮微粒,1.9,0.59,42.9,17.7,56,31,27.3,34.1,6.7,1.4,263,2023/03/07 10:00:00,0.5,30,52,1,120.641092,24.151958,87,普通
西屯,臺中市,細懸浮微粒,1.4,0.38,43.7,14.9,58,31,21.8,27.1,5.2,1,191,2023/03/07 10:00:00,0.5,32,58,1,120.616917,24.162197,92,普通
豐原,臺中市,細懸浮微粒,1.7,0.42,65.2,41.3,62,35,13.4,15.9,2.5,2.9,201,2023/03/07 11:00:00,0.4,25,45,1,120.74252414,24.25699731,75,普通
沙鹿,臺中市,細懸浮微粒,6.2,0.46,37.9,19.5,75,40,34.6,44.3,9.7,2.9,345,2023/03/07 11:00:00,0.6,35,64,2,120.568794,24.225628,102,對敏感族群不健康
大里,臺中市,細懸浮微粒,2.5,0.32,54.3,29.8,59,28,16.4,20.8,4.3,2.1,257,2023/03/07 11:00:00,0.4,26,53,1,120.67844444,24.09961111,79,普通
忠明,臺中市,細懸浮微粒,2.3,0.33,62.8,24.6,57,30,12.7,14.6,1.9,2.2,260,2023/03/07 11:00:00,0.5,30,53,1,120.641092,24.151958,87,普通
西屯,臺中市,細懸浮微粒,1.7,0.28,59.2,21.9,55,27,13.3,15.7,2.4,2,238,2023/03/07 11:00:00,0.5,31,57,1,120.616917,24.162197,90,普通
豐原,臺中市,細懸浮微粒,1.6,0.32,70.9,44,49,21,7.9,9.4,1.5,3,221,2023/03/07 12:00:00,0.4,25,46,1,120.74252414,24.25699731,74,普通
沙鹿,臺中市,細懸浮微粒,2.8,0.28,47.7,23.7,52,22,16.3,20.1,3.7,2.3,315,2023/03/07 12:00:00,0.5,33,61,2,120.568794,24.225628,94,普通
大里,臺中市,細懸浮微粒,2.5,0.27,71.6,34.6,52,19,7.9,9.3,1.4,2,287,2023/03/07 12:00:00,0.4,25,53,1,120.67844444,24.09961111,75,普通
忠明,臺中市,細懸浮微粒,2.2,0.28,73.7,32.8,47,18,10.7,11.4,0.6,3.2,200,2023/03/07 12:00:00,0.4,28,51,1,120.641092,24.151958,83,普通
西屯,臺中市,細懸浮微粒,1.8,0.28,67.1,29.7,46,24,9.8,11.2,1.3,2.3,224,2023/03/07 12:00:00,0.4,29,55,1,120.616917,24.162197,85,普通
豐原,臺中市,細懸浮微粒,1.9,0.32,70.6,46.9,56,27,10.5,12.1,1.6,3.3,284,2023/03/07 13:00:00,0.4,25,48,1,120.74252414,24.25699731,75,普通
沙鹿,臺中市,細懸浮微粒,3,0.28,51.3,28.3,59,27,15.5,18.7,3.2,2.7,315,2023/03/07 13:00:00,0.5,32,61,2,120.568794,24.225628,92,普通
大里,臺中市,細懸浮微粒,2.7,0.31,72.8,39.4,62,26,9.8,11.2,1.4,2.7,286,2023/03/07 13:00:00,0.4,24,54,1,120.67844444,24.09961111,73,普通
忠明,臺中市,細懸浮微粒,2.7,0.31,68.2,39.3,49,26,13.7,14.6,0.8,2.1,333,2023/03/07 13:00:00,0.4,27,51,1,120.641092,24.151958,81,普通
西屯,臺中市,細懸浮微粒,2.8,0.28,58.6,35.4,62,27,18,20.3,2.3,1.6,290,2023/03/07 13:00:00,0.4,28,55,1,120.616917,24.162197,84,普通
豐原,臺中市,細懸浮微粒,1.8,0.28,68.3,50.8,46,21,9.1,10.5,1.4,3.4,301,2023/03/07 14:00:00,0.4,24,47,1,120.74252414,24.25699731,73,普通
沙鹿,臺中市,細懸浮微粒,2.8,0.27,59.5,34.4,56,24,14.8,17.1,2.3,2.6,323,2023/03/07 14:00:00,0.5,29,59,2,120.568794,24.225628,86,普通
大里,臺中市,細懸浮微粒,2.9,0.3,73.4,45.6,55,22,9.6,11.2,1.6,3.9,273,2023/03/07 14:00:00,0.4,23,54,1,120.67844444,24.09961111,72,普通
